date,cold or flu
2020-01-05,55.4
2020-01-12,47.714285714285715
2020-01-19,45.285714285714285
2020-01-26,45.285714285714285
2020-02-02,49.857142857142854
2020-02-09,57.28571428571428
2020-02-16,50.42857142857143
2020-02-23,46.0
2020-03-01,45.42857142857143
2020-03-08,53.857142857142854
2020-03-15,77.57142857142857
2020-03-22,56.14285714285713
2020-03-29,37.714285714285715
2020-04-05,22.571428571428573
2020-04-12,8.428571428571429
2020-04-19,8.714285714285712
2020-04-26,1.2857142857142858
2020-05-03,2.857142857142857
2020-05-10,0.0
2020-05-17,1.4285714285714286
2020-05-24,1.4285714285714286
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,1.8571428571428572
2020-06-21,1.2857142857142858
2020-06-28,3.9999999999999996
2020-07-05,3.543635753430902
2020-07-12,4.665953576932345
2020-07-19,1.7316941110264372
2020-07-26,0.0
2020-08-02,11.400319564257378
2020-08-09,0.0
2020-08-16,1.6354888826360798
2020-08-23,1.7797967252216165
2020-08-30,2.9823620801010864
2020-09-06,6.974879058300927
2020-09-13,7.840726113814147
2020-09-20,5.772313703421458
2020-09-27,10.14965159518273
2020-10-04,6.830571215715392
2020-10-11,6.541955530544319
2020-10-18,13.613039817235606
2020-10-25,16.25868359797044
2020-11-01,14.382681644358467
2020-11-08,13.709245045625961
2020-11-15,19.722071820023313
2020-11-22,23.041152199490654
2020-11-29,18.134685551582415
2020-12-06,23.618383569832798
2020-12-13,20.636021489731714
2020-12-20,20.63602148973171
2020-12-27,19.625866591632956
2021-01-03,17.25288486523059
2021-01-10,16.75762400216018
2021-01-17,19.845887035790913
2021-01-24,17.314523893470643
2021-01-31,16.15009684800332
2021-02-07,12.049288557444482
2021-02-14,7.6953439526536185
2021-02-21,5.417117124565377
2021-02-28,0.0
2021-03-07,11.796152243212456
2021-03-14,6.37903511864708
2021-03-21,6.885307747111133
2021-03-28,0.0
2021-04-04,10.074825306434674
2021-04-11,8.049734792578457
2021-04-18,12.099915820290887
2021-04-25,2.379481353781053
2021-05-02,2.63261766801308
2021-05-09,5.062726284640539
2021-05-16,7.695343952653618
2021-05-23,7.7965984783464295
2021-05-30,2.8351267193987018
2021-06-06,3.7464174506339982
2021-06-13,4.961471758947728
2021-06-20,4.455199130483674
2021-06-27,6.075271541568647
2021-07-04,2.63261766801308
2021-07-11,6.253995331730203
2021-07-18,4.2580393747950325
2021-07-25,6.786250253579582
2021-08-01,6.786250253579582
2021-08-08,8.782206210514753
2021-08-15,2.661274609246895
2021-08-22,12.374926932998061
2021-08-29,12.241863202535717
2021-09-05,12.641054393922749
2021-09-12,13.43943677669682
2021-09-19,14.770074081320265
2021-09-26,17.298284960104816
2021-10-03,16.100711385943715
2021-10-10,11.576544550223995
2021-10-17,14.50394662039558
2021-10-24,20.891005682588123
2021-10-31,18.22973107334123
2021-11-07,21.157133143512816
2021-11-14,14.90313781178261
2021-11-21,24.48372640507143
2021-11-28,24.217598944146744
2021-12-05,28.342574588479433
2021-12-12,28.209510858017087
2021-12-19,35.794143494370736
2021-12-26,47.76987923598176
2022-01-02,65.03731219590236
2022-01-09,54.71872585250243
2022-01-16,35.578430801215575
2022-01-23,25.55792339201246
2022-01-30,19.365474993066705
2022-02-06,9.11978764208374
2022-02-13,3.490289097587604
2022-02-20,11.59676700166204
2022-02-27,10.245687350982966
2022-03-06,10.245687350982967
2022-03-13,15.875185895479103
2022-03-20,13.848566419460493
2022-03-27,17.78921540060779
2022-04-03,15.987775866369024
2022-04-10,16.10036583725895
2022-04-17,16.10036583725895
2022-04-24,16.325545779038794
2022-05-01,15.42482601191941
2022-05-08,15.312236041029488
2022-05-15,17.00108560437833
2022-05-22,16.325545779038794
2022-05-29,15.875185895479103
2022-06-05,17.78921540060779
2022-06-12,13.961156390350416
2022-06-19,9.682737496533353
2022-06-26,4.278418893817063
2022-07-03,11.371587059882193
2022-07-10,5.50450198686801
2022-07-17,9.10744874190889
2022-07-24,8.807203178988816
2022-07-31,10.708758410815948
2022-08-07,6.805566092854995
2022-08-14,5.204256423947937
2022-08-21,10.408512847895874
2022-08-28,15.913014834763887
2022-09-04,11.309249536656095
2022-09-11,15.312523708923738
2022-09-18,14.411787020163517
2022-09-25,16.513505960604032
2022-10-02,15.112360000310357
2022-10-09,20.416698278564986
2022-10-16,24.620136159446012
2022-10-23,26.721855099886522
2022-10-30,34.42815788150175
2022-11-06,38.73167761668946
2022-11-13,37.53069536500916
2022-11-20,43.63568847771732
2022-11-27,53.14346463685297
2022-12-04,48.139371921518425
2022-12-11,53.34362834546636
2022-12-18,57.24682066342731
2022-12-25,50.6414182791857
2023-01-01,57.34690251773401
2023-01-08,34.28550370451687
2023-01-15,23.888960774680672
2023-01-22,18.42530551234495
2023-01-29,22.145241010105444
2023-02-05,23.133348876698076
2023-02-12,20.69214120629275
2023-02-19,21.854621049342907
2023-02-26,19.645909347547615
2023-03-05,18.42530551234495
2023-03-12,16.62346175561721
2023-03-19,18.0184375672774
2023-03-26,15.925973849787116
2023-04-02,14.124130093059378
2023-04-09,15.460981912567055
2023-04-16,12.089790367721607
2023-04-23,10.752938548213931
2023-04-30,10.171698626688853
2023-05-07,10.055450642383837
2023-05-14,14.06600610090687
2023-05-21,9.299838744401237
2023-05-28,10.229822618841359
2023-06-04,6.742383089690896
2023-06-11,9.125466767943715
2023-06-18,1.743719764575232
2023-06-25,1.859967748880247
2023-07-02,1.4530998038126932
2023-07-09,2.768401274250381
2023-07-16,0.0
2023-07-23,3.4072631067697
2023-07-30,5.643279520587315
2023-08-06,7.027480157712508
2023-08-13,4.152601911375572
2023-08-20,7.559865018145272
2023-08-27,9.15701959944357
2023-09-03,9.795881431962886
2023-09-10,17.888131310540928
2023-09-17,17.56870039428127
2023-09-24,18.73994708723335
2023-10-01,17.249269478021606
2023-10-08,19.911193780185435
2023-10-15,22.57311808234926
2023-10-22,20.337101668531652
2023-10-29,22.78607202652237
2023-11-05,24.596180551993772
2023-11-12,24.70265752408033
2023-11-19,31.09127584927352
2023-11-26,31.517183737619728
2023-12-03,39.39647967202466
2023-12-10,37.90580206281292
2023-12-17,44.40089736009266
2023-12-24,56.645749150046264
2023-12-31,55.15507154083453
