date,contagious flu
2020-01-05,29.681312243702404
2020-01-12,26.29466900995899
2020-01-19,28.841534856473345
2020-01-26,32.28324545987112
2020-02-02,39.44200351493849
2020-02-09,37.7211482132396
2020-02-16,35.793790275336846
2020-02-23,32.00790861159929
2020-03-01,29.874048037492678
2020-03-08,34.00410076157
2020-03-15,39.85500878734622
2020-03-22,22.16461628588166
2020-03-29,11.770650263620384
2020-04-05,7.296426479203281
2020-04-12,4.680726420620972
2020-04-19,3.5793790275336845
2020-04-26,3.3040421792618626
2020-05-03,2.5468658465143528
2020-05-10,2.340363210310486
2020-05-17,2.2715289982425304
2020-05-24,2.1338605741066194
2020-05-31,1.7208553016988868
2020-06-07,0.6883421206795547
2020-06-14,1.3078500292911541
2020-06-21,1.2390158172231984
2020-06-28,1.9273579379027532
2020-07-05,2.5362609997081234
2020-07-12,2.2042514609351223
2020-07-19,2.036130586796003
2020-07-26,2.577853403466499
2020-08-02,2.2509517037515443
2020-08-09,0.9807050991448639
2020-08-16,1.4383674787458003
2020-08-23,1.5317679643786444
2020-08-30,1.746589081334186
2020-09-06,1.8399895669670303
2020-09-13,1.634508498574773
2020-09-20,2.5685133549032146
2020-09-27,2.64323374340949
2020-10-04,3.138256317263564
2020-10-11,3.745359473877051
2020-10-18,3.8667801051997484
2020-10-25,3.5211983083582252
2020-11-01,3.932160445142739
2020-11-08,2.9327752488713066
2020-11-15,4.025560930775583
2020-11-22,4.651344184515639
2020-11-29,4.034900979338868
2020-12-06,4.118961416408427
2020-12-13,4.408502921870245
2020-12-20,4.613983990262502
2020-12-27,4.33378253336397
2021-01-03,5.125331577364724
2021-01-10,3.567229493254641
2021-01-17,3.3324436879661192
2021-01-24,3.112805353986534
2021-01-31,2.8325771347712014
2021-02-07,2.946183169588228
2021-02-14,2.6205125364460846
2021-02-21,2.756839778226517
2021-02-28,2.4463166163933106
2021-03-07,3.08251041136866
2021-03-14,2.64323374340949
2021-03-21,2.6205125364460846
2021-03-28,2.5069065016290577
2021-04-04,2.893167020006949
2021-04-11,3.650540585453794
2021-04-18,3.4536234584376144
2021-04-25,3.1733952392222817
2021-05-02,2.7492660425720485
2021-05-09,2.779560985189922
2021-05-16,2.6356600077550216
2021-05-23,2.726544835608643
2021-05-30,2.340284317230752
2021-06-06,3.6429668497993255
2021-06-13,1.9540237988528608
2021-06-20,1.5753370161294382
2021-06-27,2.143367190214572
2021-07-04,2.086585210960654
2021-07-11,2.7753954305799646
2021-07-18,2.723999218902558
2021-07-25,2.723999218902558
2021-08-01,2.672603007225151
2021-08-08,3.8547158758055065
2021-08-15,3.0837727006444053
2021-08-22,3.0837727006444053
2021-08-29,2.6212067955477445
2021-09-05,2.723999218902558
2021-09-12,3.7005272407732863
2021-09-19,3.4435461823862523
2021-09-26,3.340753759031439
2021-10-03,3.8033196641280997
2021-10-10,4.522866627611794
2021-10-17,4.471470415934387
2021-10-24,4.6256590509666085
2021-10-31,5.036828744385862
2021-11-07,6.424526459675844
2021-11-14,7.709431751611013
2021-11-21,12.643468072642062
2021-11-28,13.876977152899823
2021-12-05,13.260222612770942
2021-12-12,15.83003319664128
2021-12-19,21.791993751220463
2021-12-26,28.216520210896306
2022-01-02,20.53075861346593
2022-01-09,13.62523395325128
2022-01-16,10.10273181811989
2022-01-23,7.314084294474205
2022-01-30,6.18884055686279
2022-02-06,5.47944776575994
2022-02-13,6.115455095714219
2022-02-20,7.558702498302774
2022-02-27,8.414866211702764
2022-03-06,9.001949900891331
2022-03-13,9.637957230845611
2022-03-20,11.521517400325589
2022-03-27,11.570441041091302
2022-04-03,10.763200968457026
2022-04-10,12.475528395257006
2022-04-17,13.86985215707985
2022-04-24,11.692750143005586
2022-05-01,9.833651793908464
2022-05-08,10.127193638502748
2022-05-15,10.273964560799888
2022-05-22,9.442262667782755
2022-05-29,9.71134269199418
2022-06-05,8.023477085577055
2022-06-12,6.751462425668498
2022-06-19,5.503909586142797
2022-06-26,5.039134998868517
2022-07-03,5.014673178485659
2022-07-10,3.857142857142857
2022-07-17,4.714285714285714
2022-07-24,3.857142857142857
2022-07-31,4.0
2022-08-07,2.857142857142857
2022-08-14,3.428571428571428
2022-08-21,3.428571428571428
2022-08-28,4.0
2022-09-04,4.0
2022-09-11,4.142857142857143
2022-09-18,5.57142857142857
2022-09-25,6.428571428571429
2022-10-02,7.857142857142857
2022-10-09,10.285714285714286
2022-10-16,13.714285714285714
2022-10-23,17.142857142857142
2022-10-30,28.14285714285714
2022-11-06,37.42857142857143
2022-11-13,35.714285714285715
2022-11-20,44.42857142857143
2022-11-27,71.42857142857142
2022-12-04,53.714285714285715
2022-12-11,55.857142857142854
2022-12-18,54.714285714285715
2022-12-25,67.14285714285714
2023-01-01,43.57142857142857
2023-01-08,18.576185454849774
2023-01-15,11.253567662565905
2023-01-22,9.707275922671354
2023-01-29,8.590509666080843
2023-02-05,8.332794376098418
2023-02-12,8.533239601640304
2023-02-19,8.275524311657879
2023-02-26,7.989173989455184
2023-03-05,7.5023784417106025
2023-03-12,6.729232571763327
2023-03-19,6.786502636203866
2023-03-26,7.044217926186291
2023-04-02,5.927451669595781
2023-04-09,5.984721734036321
2023-04-16,4.810685413005272
2023-04-23,4.037539543057997
2023-04-30,3.8084592852958403
2023-05-07,4.696145284124194
2023-05-14,4.094809607498535
2023-05-21,4.4097949619215
2023-05-28,3.5793790275336845
2023-06-04,3.321663737551259
2023-06-11,2.7775981253661395
2023-06-18,2.9207732864674867
2023-06-25,2.5771528998242528
2023-07-02,3.235758640890451
2023-07-09,2.8022038378556013
2023-07-16,2.7077028591024046
2023-07-23,2.5948819066398046
2023-07-30,2.8205238115650046
2023-08-06,2.933344764027605
2023-08-13,2.8205238115650046
2023-08-20,3.3846285738780053
2023-08-27,4.4000171460414075
2023-09-03,4.8513009558918085
2023-09-10,4.287196193578807
2023-09-17,4.6256590509666085
2023-09-24,5.415405718204809
2023-10-01,6.5436152428308105
2023-10-08,6.656436195293411
2023-10-15,6.656436195293411
2023-10-22,7.671824767456813
2023-10-29,7.559003814994212
2023-11-05,9.928243816708816
2023-11-12,12.29748381842342
2023-11-19,15.343649534913625
2023-11-26,17.60006858416563
2023-12-03,16.020575249689227
2023-12-10,20.194950490805436
2023-12-17,30.687299069827255
2023-12-24,61.713060997042305
2023-12-31,49.189935273693685
