date,do i have the flu
2020-01-05,47.2
2020-01-12,44.285714285714285
2020-01-19,43.57142857142857
2020-01-26,42.857142857142854
2020-02-02,58.857142857142854
2020-02-09,53.714285714285715
2020-02-16,51.0
2020-02-23,40.142857142857146
2020-03-01,47.42857142857143
2020-03-08,50.857142857142854
2020-03-15,72.42857142857142
2020-03-22,42.714285714285715
2020-03-29,33.0
2020-04-05,24.714285714285715
2020-04-12,5.142857142857143
2020-04-19,2.2857142857142856
2020-04-26,3.857142857142857
2020-05-03,1.8571428571428572
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,2.2857142857142856
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,6.133982211709507
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,0.0
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,18.123129261869
2020-10-04,25.930015713135642
2020-10-11,14.870259907174562
2020-10-18,14.59144253391504
2020-10-25,6.784556082648393
2020-11-01,6.041043087289665
2020-11-08,21.468937740983275
2020-11-15,7.435129953587283
2020-11-22,7.156312580327758
2020-11-29,0.0
2020-12-06,6.133982211709507
2020-12-13,14.126746911815834
2020-12-20,7.528069078007122
2020-12-27,7.621008202426963
2021-01-03,6.319860460549189
2021-01-10,10.168093531497615
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,0.0
2021-02-28,0.0
2021-03-07,0.0
2021-03-14,5.606705779050086
2021-03-21,13.589134345833259
2021-03-28,0.0
2021-04-04,0.0
2021-04-11,9.597920062441672
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,0.0
2021-05-09,6.556994894143321
2021-05-16,0.0
2021-05-23,5.131561221503468
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,0.0
2021-06-20,5.226590133012791
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,4.609504664220131
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,6.146006218960174
2021-08-08,0.0
2021-08-15,7.17034058878687
2021-08-22,0.0
2021-08-29,14.852848362487086
2021-09-05,0.0
2021-09-12,5.50579723781849
2021-09-19,5.121671849133478
2021-09-26,6.786215200101858
2021-10-03,0.0
2021-10-10,27.913111577777453
2021-10-17,6.146006218960174
2021-10-24,0.0
2021-10-31,11.26767806809365
2021-11-07,0.0
2021-11-14,17.541726083282164
2021-11-21,21.254938173903934
2021-11-28,0.0
2021-12-05,23.559690506014
2021-12-12,19.462353026707216
2021-12-19,33.54695061182428
2021-12-26,38.02841347981608
2022-01-02,60.49344140122968
2022-01-09,44.11069292423688
2022-01-16,48.084629223717684
2022-01-23,20.13461058403605
2022-01-30,15.8957451979232
2022-02-06,7.020620795749413
2022-02-13,4.106400842796827
2022-02-20,4.7687235593769595
2022-02-27,4.371329929428881
2022-03-06,0.0
2022-03-13,15.630816111291145
2022-03-20,14.836028851394985
2022-03-27,11.127021638546239
2022-04-03,20.53200421398413
2022-04-10,18.809965150875787
2022-04-17,13.11398978828664
2022-04-24,9.934840748702
2022-05-01,17.61778426103155
2022-05-08,3.5765426695327203
2022-05-15,22.65143690704056
2022-05-22,10.729628008598159
2022-05-29,8.212801685593652
2022-06-05,4.901188102692986
2022-06-12,4.7687235593769595
2022-06-19,4.238865386112853
2022-06-26,0.0
2022-07-03,0.0
2022-07-10,0.0
2022-07-17,0.0
2022-07-24,3.5653659736904304
2022-07-31,7.868393872971985
2022-08-07,0.0
2022-08-14,3.9341969364859923
2022-08-21,0.0
2022-08-28,0.0
2022-09-04,6.516013676054925
2022-09-11,7.868393872971985
2022-09-18,12.048478117988351
2022-09-25,12.417309080783912
2022-10-02,10.941985229601666
2022-10-09,18.3186044855129
2022-10-16,23.728125273181142
2022-10-23,26.43288566701526
2022-10-30,43.890884572671844
2022-11-06,52.86577133403052
2022-11-13,50.283954594461584
2022-11-20,55.44758807359945
2022-11-27,62.20948905818475
2022-12-04,56.79996827051651
2022-12-11,63.19303829230625
2022-12-18,53.84932056815201
2022-12-25,47.94802516342303
2023-01-01,42.53850437575478
2023-01-08,26.21030877611315
2023-01-15,26.94985057409365
2023-01-22,26.528759158873434
2023-01-29,20.57332342933042
2023-02-05,16.482721110048345
2023-02-12,14.617887699787403
2023-02-19,15.399914613767796
2023-02-26,8.963231552544539
2023-03-05,9.20385521838466
2023-03-12,3.729666820521889
2023-03-19,3.0077958230015227
2023-03-26,12.392118790766276
2023-04-02,3.4890431546817666
2023-04-09,6.556994894143322
2023-04-16,3.3085754053016756
2023-04-23,3.0077958230015227
2023-04-30,0.0
2023-05-07,3.9702904863620105
2023-05-14,2.9476399065414927
2023-05-21,8.301516471484204
2023-05-28,0.0
2023-06-04,8.542140137324326
2023-06-11,8.722607886704415
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,4.210914152202132
2023-07-09,0.0
2023-07-16,3.4802511361222237
2023-07-23,0.0
2023-07-30,3.4802511361222237
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,3.97742986985397
2023-09-03,4.226019236719844
2023-09-10,3.6045458195551605
2023-09-17,3.355956452689287
2023-09-24,8.576333156872622
2023-10-01,13.175236443891274
2023-10-08,15.785424795982944
2023-10-15,16.90407694687937
2023-10-22,15.785424795982944
2023-10-29,14.915362011952386
2023-11-05,19.3899706155381
2023-11-12,24.734642003154374
2023-11-19,27.593419722111914
2023-11-26,20.508622766434534
2023-12-03,39.02853059794207
2023-12-10,24.734642003154374
2023-12-17,45.243264769588905
2023-12-24,62.52022576676709
2023-12-31,56.05690222825439
